hero1,value
"ST. GERMAINE, COMTE",10
"ST. HUBBINS, SARI",19
"ST. LAWRENCE, COL. C",75
"ST. THOMAS, JULES",13
"STACY, ARTHUR",166
"STACY, CAPT. GEORGE",143
"STACY, GWEN",351
"STACY, GWEN (CLONE)",64
"STACY, GWEN | MUTANT",10
"STACY, HELEN",5
"STACY, JILL",231
"STACY, NANCY",12
"STACY, PAUL",96
"STAHL, VERONICA",5
STAINED GLASS SCARLE,12
"STALIN, JOSEF",9
STALKER,4
STALKING FOX,5
STALLIOR,82
"STALYENKO, COL. YURI",63
"STAMP, J.Q.",2
STAMPEDE/,7
"STANACHEK, FREDDIE",21
"STANCHEK, DR.",27
"STANDISH, GEN.",14
"STANE, OBADIAH",80
"STANFORD, DWIGHT ROL",23
"STANKOWICZ, FABIAN",244
"STANLEY, TOM",2
"STAPHOS, DR. MONICA",1
"STAPLES, EDNA M. GRA",94
STAR,10
STAR HAMMER,9
STAR THIEF II,2
STAR THIEF III/DITMI,24
"STAR, JOAN",6
STAR-STALKER,31
STARBOLT,121
STARDUST/T'URIN G'AR,32
STARFOX/EROS,1037
STARHAWK II/ALETA OG,9
STARHAWK/STAKAR,12
"STARK, HOWARD",25
"STARK, HOWARD | TIME",14
"STARK, ISAAC",1
"STARK, MARIA CARBONE",2
"STARK, MARIA | TIMES",15
"STARK, MORGAN",72
"STARR, AARON",7
"STARR, JACQUELINE",5
"STARR, TRIXIE TRISH",62
STARSHINE II/BRANDY ,251
STARSHINE III/ANARRA,30
STARSHINE/LANDRA,34
STATIC,44
STECK'EE,11
"STEED, JOHN",27
"STEED, MR.",10
STEEL COLLAR,8
STEEL SERPENT,20
STEEL SPIDER/OLLIE O,1
STEEL WIND,104
"STEELE, BOBBY",103
"STEELE, MARCY MASTER",190
"STEELE, SIMON/WOLFGA",8
STEEPLEJACK II/MAXWE,16
STEGRON,20
STELLARAX,13
STELLARIS/LEAH PRINC,92
STEM,4
"STEPHANAPOULUS, COSM",5
"STERIXIAN, ALMONNAS",4
"STERIXIAN, LOATIA",2
STERLING,5
"STERMAN, ANDREA ANDI",86
STERN,5
"STERN, ROGER",14
"STERNBERG, DR. BERTH",4
"STEVENS, DR. VINCENT",5
"STEVENS, MILO",14
"STEWART, MACKINLEY",17
"STEWART, MADDIE",5
"STEWART, MARY",6
"STEWART, TINA",16
STICK,16
"STILES, TATJANA",3
STILETTO,66
STILETTO II/,10
STILT-MAN/WILBUR DAY,84
STINGER II/,10
STINGER III/,28
STINGER IV,7
STINGER/,2
STINGRAY | MUTANT X-,48
STINGRAY/DR. WALTER ,406
STINKY,36
STITCH/,8
"STITHY, THEODORE",5
"STOCKBRIDGE, CHARLES",43
"STOCKBRIDGE, DEANNA",22
STONE,2
STONE II,8
"STONE, CHANTAL",9
"STONE, JOHN",9
"STONE, LT. MARCUS",207
"STONE, MARGARET",7
"STONE, NELSON",14
"STONE, TIBERIUS",23
STONE-FACE,1
STONECOLD/,9
STONECUTTER/UTAMA TO,48
STONEWALL/LOUIS HAMI,131
STORM 2013,43
STORM DOPPELGANGER,35
STORM DOPPELGANGER I,65
"STORM, CHILI",34
"STORM, JOHNNY | MUTA",33
"STORM, SUE | TIMESLI",12
STORM/ORORO MUNROE S,4170
STRACU,25
"STRANG, COL./LT. GAR",50
STRANGE,4
STRANGER,252
STRANGLEHOLD,15
STRANGLER,29
STRIDER,151
STRIKER,4
"STRIKER, SAM",12
"STRINGER, AMY",4
STROBE/,62
STRONG GUY DOPPELGAN,34
STRONG GUY | MUTANT ,35
STRONG GUY/GUIDO CAR,900
"STRONG, MARTIN HENRY",10
"STRONG, SUSAN",20
STRONGARM II/ARMSTRO,12
STRONGARM/,47
STRONGHOLD/,17
STRONTIUM-90/,15
"STROUD, SIMON",21
"STROUGHTON, WILLIAM",5
"STRUCKER, ANDREA",156
"STRUCKER, ANDREAS",222
"STRUNK, BELLA",2
STRYFE,220
"STRYKER, WILLIS",1
"STUART, BRIG. ALYSAN",93
"STUART, DR.",23
"STUART, DR. ALISTAIR",211
STUNNER/ANGELINA BRA,63
STUNT-MASTER/GEORGE ,86
"STURDY, PROF. KENNET",32
"STYGE, REV.",8
STYGIAN STARBENDER,26
STYRAK,2
STYX II,4
STYX/JACOB EICHORN,19
"SU, DR. KO BIN",51
"SUAREZ, RAPHAEL",24
SUB-MARINER | MUTANT,39
SUB-MARINER/NAMOR MA,2776
"SUEE, FAH LO",69
SUGAR MAN,85
SUICIDE/CHRIS DANIEL,3
"SUKHAROV, DIMITRI",2
"SUKHAROV, VIKTORIA",3
"SUMMERS, DEBORAH",1
"SUMMERS, MADELYNE MA",459
"SUMMERS, NATHAN CHRI",1554
"SUMMERS, PHILIP",5
"SUMMERS, SCOTT III |",117
SUMO,37
"SUN, LIN",71
SUN-TAO,5
SUNDANCE,3
SUNDER,146
SUNDOWN/DR. DAVE LOW,29
SUNDRAGON/PAMELA DOU,3
SUNFIRE/SHIRO YASHID,4
SUNFIRE/SHIRO YOSHID,651
SUNSET,1
SUNSET GRACE,3
SUNSHINE/AUTUMN MACR,22
SUNSPOT/ROBERTO DACO,1475
SUNSPYRE/LEYU YOSHID,25
SUNSTROKE/,21
SUNTURION II/MIKE ST,1
SUNTURION/ARTHUR DEA,25
SUPER SABRE/MARTIN F,158
SUPER SKRULL/KL'RT,165
SUPER-ADAPTOID/ALESS,103
SUPER-ANDROID F-4,4
SUPER-NOVA,14
SUPER-PATRIOT,2
SUPERCHARGER/,75
"SUPERIA/WENTWORTH, D",100
SUPREME COMMANDER,8
SUPREME INTELLIGENCE,277
SUPREME ONE,4
SUPREMOR,48
SURESHOT,8
SURGE,2
SURGEON GENERAL/ANGE,4
SURTUR,162
"SUTTON, JOHN",3
"SUVOROV, ADMIRAL GRI",22
SUWAN,28
SUZIE,6
SVAROG,2
SVYATOGOR/SASHA POKR,18
"SWANN, DR. EVAN",30
SWARM/FRITZ VON MEYE,15
SWEEPZWEAK,5
SWIFT/,4
SWITCH/DEVON ALOMAR,40
"SWITZLER, BEVERLY",38
SWORDSMAN II/COTATI,75
SWORDSMAN III/PHILIP,186
SWORDSMAN IV/,1
SWORDSMAN/JACQUES DU,338
SYBIL,2
SYBYL DORN,77
SYLPH,1
SYNAPSE/,13
SYNARIO/ANGELA BRADF,1
SYNCH/EVERETT THOMAS,460
SYNRAITH,16
SYPHONN,12
SYRRH,1
"SZARDOS, MARGALI",140
SZARKUS,12
T,14
T'CHAKA,42
T'KYLL ALABAR,7
T-RAY/WADE WILSON,28
"TABESHAW, HARRY",16
TABOO,25
TABULA RASA,7
TABUR,3
TAGAK,51
TAGAR,85
TAI,43
TAI II,129
TAIFU/TOSHIO SASAKI,39
"TAKACHIHO, HIRO",52
"TAKACHIHO, MRS.",7
"TAKAHAMA, JANE",9
"TAKAHAMA, ROBERT",13
"TAKAHASHI, REI",10
TAKAR,4
"TAKIMOTO, RON",5
TAKU,24
"TAL, GENERAL",6
"TALBOT, GLENN",349
"TALBOT, MAJ. MATT",41
TALISMAN,113
TALISMAN II/ELIZABET,453
TALISMAN III/NAHITA,2
TALO,14
TALOS,3
TANA NILE,164
"TANAKA, GEORGE",8
"TANAKA, KENJIRO",183
"TANAKA, OPAL",40
"TANAKA, RITA",15
TANGERINE 2013,6
"TANNEN, PAUL",7
"TANNEN, VINCENT",18
"TANNER, ARCHIE",4
"TANNER, JACKO",12
TANTE MATTIE,67
TANTRUM/,2
TAR,11
TARAKIS,24
TARANTULA II/CAPT. L,35
TARANTULA/ANTON MIGU,50
TARBABY,77
TAREE,5
TAREVA,8
TARGET,2
TARGON,86
TARNOK-KOL,8
TAROOK,12
TAROT/MARIE-ANGE COL,173
"TARR, BLACK JACK",220
TARTARUS,20
TASHA,15
TASKMASTER,119
TATSU'O,49
TATTERDEMALION/,73
"TAUREY, SIR WILLIAM",1
"TAUREY, WILLIAM MALC",20
TAURUS II/,35
TAURUS/CORNELIUS VAN,96
"TAYLOR, JACK",7
"TAYLOR, JENNA",29
"TAYLOR, LEILA",124
TECH-NOIR/,73
TECHNARX,37
TECHNOCRAT/RANDY,8
TECHNOSPIKE,8
TEFRAL,58
TEI,11
TELLIS,13
TEMPEST II/NICOLETTE,31
TEMPEST/GRANNZ,121
TEMPLAR/IAN FITZWILL,25
"TEMPLE, CLAIRE",58
TEMPO,76
TEMPUS,24
TEN FOR,46
TEN-THIRTIFOR,16
TENDRIL/RIVER VERYS,19
TENEBRAE,14
TENELLE,1
"TENG, NIKKI",8
"TENKO, CARTER",4
"TENNYSON, JACOB",9
TENPIN/ALVIN HEALEY,12
TEQUILA/,6
TERMINATOR,15
TERMINATOR II/PRINCE,41
TERMINUS,41
TERRAFORMER/SAM,30
TERRAX,14
TERRAX II/TYROS,120
TERRAXIA,46
"TERREL, DEBORAH",7
TERRIGENE,2
TERROR II,12
TERROR/LASLO PEVELY,27
TESS-ONE,31
TESSA,165
TETHERBLOOD/,1
TETHRA,18
TEUTONIC KNIGHT/FRAN,5
TEXAS TWISTER/DREW D,160
TEZCATLIPOCA,9
THAIS,7
THAKOS,70
THALLIUM,28
"THAMES, SERIPHA",11
"THAN, VELENA",10
THANADEMOS,1
THANE ECTOR,80
THANOS,750
THANOS DOPPELGANGER,321
THENA,397
THERA,24
THERAK,46
THERMAL MAN,21
THERMITE/,43
THERMO II/,11
THERMO/DR. WALTER MI,9
THERNON,2
THIN MAN/BRUCE DICKS,23
THING DOPPELGANGER,89
THING DOPPELGANGER I,157
THING/BENJAMIN J. GR,5369
THINGEE,8
THINKER,243
THOG,9
"THOMAS, BECKY",3
"THOMAS, COMMANDER DA",132
"THOMAS, DR. JOHN",14
"THOMAS, IDA",5
"THOMAS, JEANIE",2
"THOMAS, KIM HO TWAE",5
"THOMAS, ROY",51
"THOMPSON, EUGENE FLA",1255
"THOMPSON, HARRISON",20
"THOMPSON, JESSICA JE",14
"THOMPSON, ROSIE",22
THOR II/ROGER RED NO,175
THOR III DOPPELGANGE,25
THOR IV/DARGO,23
THOR REPLICOID,20
THOR | EARTH 253,6
THOR | MUTANT X-VERS,20
THOR/DR. DONALD BLAK,5712
THORNN,55
THORNN II/LUCIA CALL,45
"THORPE, GAVIN",7
"THORPE, GORDON",7
"THORPE, LUKE",13
"THORSON, DR. WALTER",13
THOUSAND,4
THRAXON,2
THREADGOLD,22
THREE-FACE,2
THREETREES,4
THRENODY,45
THUG,103
"THULE, GEN.",13
THUMBELLINA,69
THUMPER,12
THUNDERBALL/DR. ELIO,433
THUNDERBIRD II/JAMES,911
THUNDERBIRD III/NEAL,198
THUNDERBIRD/JOHN PRO,37
THUNDERBOLT/BILLY CA,22
THUNDERFIST/,24
THUNDERHEAD/,14
THUNDERSTRIKE/ERIC K,1482
THUNDERSWORD,13
THUNDRA,138
"THURM, ETHAN",4
TIAMAT,13
TICKTOCK,61
"TIERS, MICHELLE",6
TIGER SHARK/TODD ARL,270
TIGER WYLDE,3
TIGRA/GREER NELSON,1277
TIKUAK,13
"TILBY, TRISH/PATRICI",425
TILDA,9
TILLIE THE HUN/MATIL,15
"TILTON, ROLAND R.",8
TIMBERIUS,121
TIMBERIUS II,11
TIMEBOMB/LOUIS JOUBE,10
TIMESHADOW,17
TIMESLIP/RINA PATEL,101
TIMESLOT,4
TIMMONS,27
TINAC,2
"TINKER, SHEA",5
TINKERER,64
TITAN,132
"TITAN, TRISH",2
TITANIA II/MARY SKEE,393
TITANIA/,28
TITANIUM MAN III/BOR,2
TITANIUM MAN/BORIS B,73
TITHE COLLECTOR,7
TIWAZ,13
TOAD/MORTIMER TOYNBE,405
TOBIAS,27
"TODD, FISHER",24
"TOFIELD, FRANCESCA",1
TOI/REXEL TOIVEN,27
TOKEN,45
TOKKOTS,41
TOLLIVER,77
"TOLLIVER, EMMA",3
"TOLLIVER, REV. JACKS",17
"TOLLIVER, SHERIFF JO",9
TOLOC,10
TOM THUMB/THOMAS THO,108
TOMAZOOMA,9
TOMAZOOMA II,7
TOMBSTONE/LONNIE THO,269
TOMMY LIGHTNING/,22
TOMORROW HAWK/CEYOTE,8
TONGAH,66
TOOTHGNASHER,7
TOOTHGRINDER,11
TOPAZ,110
TOPSPIN/DARREN MITCH,21
TORES,20
TORG,6
TORGO,37
"TORK, LT.",13
"TORK, SGT.",95
TORO II/BENITO SERRA,19
TORO/TOM RAYMOND,200
TORPEDO II/MICHAEL S,3
TORPEDO III/BROCK JO,224
TORQUE II,7
TOSHI,12
TOTEM,53
TOUGH LOVE/,23
TOWER,58
"TOWER, BLAKE",134
"TOWNSEND, CHRIS",9
TOY,15
TRACER,1
TRACKER,10
TRADER,28
"TRAINER, DR. SEWARD",168
TRANTRA,30
TRAPPER/VOLA,23
TRAPSTER II/LARRY CU,2
TRAPSTER/PETER PETRU,280
TRASK,3
"TRASK, DR. BOLIVAR",28
"TRASK, DR. DONALD TR",10
"TRASK, LAWRENCE LARR",47
"TRASK, RAYMOND",10
TRAUMA,4
TRAVELER,2
"TRAVELLER, DR. JUDAS",82
"TRAVERS, MIKE",9
"TRAYNOR, HARLEY",11
TREMELO/,11
"TREMONT, JONATHAN",62
"TREVANE, DET. CONNOR",82
"TREVANI, DANIKA",4
"TREVOR, STEVE",10
TREVORIK,1
TRI-SENTINEL,5
TRIATHLON/DELROY GAR,289
TRIAX,20
TRICKSHOT,17
TRICKSTER,3
"TRIMPE, HERB",4
TRION,12
TRITON,1036
TRITON DOPPELGANGER,54
TRITON DOPPELGANGER ,46
TRITON | MUTANT X-VE,5
TROLL/,42
TRUMP/,4
TRUTH,69
TRUTH II,22
TRYKUR,2
TSERRON,11
"TSKAROV, GENERAL",18
"TSO, JASON",52
"TSUNG, MARCUS",20
"TSURAYABA, MATSUO",116
TU,7
TUATARA/COMMANDER AR,1
TUC,33
TULAK,8
TULL,8
"TULLY, DEREK",5
TUMBLER/JOHN ROBERT ,5
"TUMOLO, DR. JOANNE",5
TUNDRA,2
TUNGSTEN,8
TUPA,8
TURBO II (A)/MICHIKO,388
TURBO II (B)/MIKE JE,52
TURK,54
TURK II,8
TURMOIL,5
TUSK,110
TUTINAX,5
TUVO,4
"TWAKI, DR. TED",26
TWEEDLEDOPE,12
TWO-GUN KID,89
TYCHO,9
TYGER TIGER/JESSAN H,80
"TYGER, LORD",156
TYGERSTRYKE/,33
TYN-DARMUTH,2
TYNDAR,30
"TYNE, ELIZABETH/JANI",13
TYPEFACE/GORDON THOM,6
TYPHOID MARY | MUTAN,17
TYPHOID MARY/MARY ME,99
TYPHON,23
TYPHOON/,6
TYR,92
TYRAK,76
TYRANNUS,119
TYRANT,16
TYRUS,5
TYRUS KRILL,1
U-GO GIRL/EDIE,10
U-MAN/MERRANO,91
UATU,770
UATU | MUTANT X-VERS,4
UGLY JOHN/STEVE,1
ULARA,3
ULIK,217
ULTARNT,7
ULTIMA,3
ULTIMATOR/,8
ULTIMO,30
ULTIMUS,55
ULTRA-MAX,1
ULTRON,505
ULTRON 2010,13
ULYSSES,2
ULYSSES II,151
UMAR,83
UNA,5
UNBEING/BILLY BETELH,23
UNCEGILA,1
UNCLE PYKO,14
UNCLE SAM,8
UNDERTAKER/CONRAD EI,5
UNI-LORD,30
UNICORN II/,3
UNICORN III/,7
UNICORN/MYLOS MASARY,70
UNION JACK II/BRIAN ,131
UNION JACK III/JOEY ,54
UNION JACK/LORD MONT,102
UNIT,9
UNIT 101101,18
UNSEEN/UNAM,13
UNUS THE UNTOUCHABLE,114
UNUSCIONE,123
UPLINK/HECTOR FUENTE,13
UR-LINI,26
URANIUM,37
URCHALLA,1
"URICH, BEN",740
"URICH, DORIS",45
UROC,40
URSA MAJOR/MIKHAIL U,151
URSON-WELLZ,11
URSULA,8
"URSULA, LADY",124
URTHONA,4
USAGENT DOPPELGANGER,95
USAGENT/CAPTAIN JOHN,1404
UTGARD-LOKI,8
VACUUM,11
VAGABOND/PRISCILLA L,43
VAGUE/,6
VAKUME,42
VALERIA,24
VALINOR,155
VALKIN,49
VALKYRIE II | MUTANT,15
VALKYRIE IV,43
VAMP,57
"VAN HELSING, RACHEL",87
"VAN NUYS, PROF. RODE",3
VANADIUM,17
VANCE REBUS/,8
"VANDERGILL, GEORGE",12
"VANE, ROGER",5
VANESSA,3
VANGUARD/NICOLAI KRY,408
VANISHER,195
VANIUM,27
"VANKIN, JONATHAN",2
VAPOR,162
VARGAS,8
VARUA/MIRA,70
VASHTI,356
"VAUGHAN, GAYLE",10
"VAUGHAN, MRS.",22
VAVELLA,2
"VAZHIN, ALEXEI MIKHA",44
"VAZIR, DR.",5
VECTOR,131
VEDA,24
VEEG,16
"VEGA, ROBIN",4
VEGA-SUPERIOR,3
VEIL,18
VENDETTA | MUTANT X-,1
VENOM/EDDIE BROCK,272
VENOMM,6
VENUS II,12
VENUS/APHRODITE/VICT,60
VERITUS,9
"VERMICELLI, GIANNI",5
VERMIN II,1
"VERMIN, LADY",130
VERMIN/EDWARD WHELAN,93
"VERPOORTEN, JOHN",10
"VERSCHLAGEN, FRAU",8
VERTIGO,44
VERTIGO II,222
VESPER,18
VESSEL,19
VESTA,25
VIBRANIA/SHARA,1
VIBRATO/,14
VIBRAVORE,12
VIBRAXAS/N'KANO,219
VIBRO/DR. FRANCIS VI,18
VICTORIUS/PROF. VICT,16
VIDAR,5
VIENNA,8
"VIENNEAU, JACQUES",11
VIGIL,1
VIGILANT/PSTUN-RAGE,3
VILIVEN,13
"VILLA-LOBOS, GETULIO",11
"VINCENT, DANNY",10
VINCENTE/,16
VINDALOO/,48
VINDICATOR II DOPPEL,185
"VINYL, MILO",4
VIOLENCE/,21
VIPER II,288
VIPER/JORDON DIXON,25
VIRA,26
VIRAGO,13
VIRAKO,28
VIRGO II,26
VIRGO/ELAINE MCLAUGH,76
VIRTUAL REALITY,3
VISALIA,10
VISARA,13
VISE/,14
VISION ,5067
VISION DOPPELGANGER,4
VISION DOPPELGANGER ,85
VITCHEN,8
VIVISECTOR/MYLES ALF,9
VIXEN,17
VIZIER,625
"VOGE, TULLAMORE",17
VOGEL,4
"VOGHT, AMELIA",203
VOICE,12
VOID,5
VOID-EATER,4
VOLCANA ASH,22
VOLCANA/MARSHA ROSEN,312
VOLGA BELLE/,24
VOLKHVY,16
VOLLA,44
VOLSTAGG,1197
VOLSTAGG | MUTANT X-,2
VOLX,32
"VON DOOM, CYNTHIA",4
"VON FRANKENSTEIN, BA",4
"VON RICHTOFEN, LT. M",20
"VON STRUCKER, WERNER",40
"VON VOLTZMANN, FRITZ",4
"VONYA, DR. ANATOLY",16
VOR/TEX,15
VORZEN,28
VOSTOK,121
VOYAGER,21
"VRIES, KALI",5
VULCAN/,9
VULTURE II/BLACKIE D,10
VULTURE III/DR. CLIF,8
VULTURE/ADRIAN TOOME,286
VYREK,43
W'KABI,76
W'KANDRO,5
"WADE, AGENT JOE",55
"WAGNER, ERNIE WHACK ",9
"WALDERS, BEATRICE",6
WALDO,125
WALKABOUT,21
WALKER,5
"WALKER, JILL",2
"WALKER, MICKEY",20
"WALKER, SHERIFF CHAN",10
"WALKER, TESS",12
WALL/,30
WALLOP/WALTER DESTIN,6
WALRUS,2
WALRUSS,9
"WALSH, CAPT. ALEXAND",6
"WALSH, LYNN",21
"WALTERS, BILLY",99
"WALTERS, CHAP",4
"WALTERS, SHERIFF MOR",29
WANDERER,14
"WANG, LI",8
"WANG, VICTORIA VICKY",8
WAR MACHINE II/PARNE,18
WAR TOY/ALKHEMA,46
WAR/ABRAHAM LINCOLN ,146
WARBOW/,14
"WARD, SEN. STEWART",48
WARFARE/,2
WARFIST,15
WARGOD/MORA HAGER,5
WARHAWK II,15
WARHAWK III/TOM NAKA,2
WARHEAD/GREGORY SLIV,32
"WARKOVSKY, SEN.",10
WARLOCK II/ADAM WARL,713
WARLOCK III,844
WARLORD,7
WARP SAVANT,2
WARPY,30
WARR,3
"WARREN, MR.",11
WARRIOR WOMAN/JULIA ,87
WARSTAR,106
WARTON/WARBECK,76
WASP/JANET VAN DYNE ,4452
"WATANABE, EMMALINE B",6
"WATANABE, YUJI",9
WATCHDOG,4
WATCHFIRE/,15
WATCHLORD/,1
WATER WITCH/,13
WATER WIZARD/PETE,150
"WATERS, SETH",18
"WATKINS, MELODY",1
"WATKINS, STEVIE",3
WATOOMB,13
"WATSON, ANNA",703
"WATSON, KEVIN",10
"WATSON, KRISTY",179
"WATSON, MADELINE",13
"WATSON, PHILIP",10
"WATSON, TOMMY",3
"WATSON-PARKER, MARY ",2570
WATTS,2
WAXWORK,102
WAYFINDER,3
WAYOPEX,6
WEAK LINK/ERNIE MILL,15
"WEALS, MELVIN J.",5
WEAPON X II/GARRISON,77
WEAPON X III,47
WEASEL/JACK HAMMER,30
"WEASON, SENATOR",6
"WEAVER, ZEKE",4
"WEBSTER, NORM",49
WEBWING,18
WEED,6
"WEI, LINDA",27
"WEIN, GLYNIS",14
"WEIN, LEN",33
"WEISENTHAL, DR. JACO",13
"WEISMAN, DR.",4
"WEISS, KONRAD KONNIE",7
WENDIGO II/GEORGES B,16
WENDIGO III/FRANCOIS,59
WENDIGO IV/MICHAEL F,1
WENDIGO V/ANDRE,6
WENDIGO VI/LARRY,9
WENDIGO/PAUL CARTIER,6
WENDY,2
"WENTWORTH, JENNIFER",2
WEREWOLF BY NIGHT/JA,242
"WERNER, P.D.Q.",6
"WESSEL, HARRY",6
"WEST, DALE",7
"WESTON, SALLY",4
"WESTPHAL, SIMON",2
"WETHERELL, MANOLI",53
"WEYING, ANN",13
WHEELER,8
"WHEELER, M'KONI MARY",11
WHIPLASH II/,47
WHIPLASH/MARK SCARLO,202
WHIRLWIND II/DAVID C,4
WHIRLWIND/DAVID CANN,211
WHISPER II/,6
WHISPER/,4
WHITE BIRD/AMARA,4
WHITE DRAGON,7
WHITE DRAGON II,1
WHITE KING,22
WHITE QUEEN/EMMA FRO,886
WHITE RABBIT,13
WHITE TIGER II/,205
WHITE TIGER/HECTOR A,177
WHITE WOLF/HUNTER,56
"WHITE, JONATHAN",8
"WHITECLOUD, MICHAEL",10
WHITEOUT,98
"WHITMAN, DEBRA",152
"WHITMAN, PATRICIA",4
WHIZZER II/STANLEY S,308
WHIZZER III/JAMES SA,179
WHIZZER/ROBERT L. FR,265
"WHYTE, HARMONY (HARM",122
WHYTEOUT/STUART ANTH,3
WIBBOW,20
"WIDDOWS, SGT.",7
WIDE LOAD ANNIE/ANNI,44
WIDGET,306
WIDOW-MAKER,4
"WIGGINS, TRACY",5
"WILBURN, MYRON",19
"WILCOX, DR. BRENT",18
WILD BLOOD,24
WILD CHILD DOPPELGAN,15
WILD CHILD | MUTANT ,19
WILD CHILD/KYLE GIBN,518
WILD MAN/ALEX WILDMA,15
WILD ONE,11
WILD TIGER/DENG LING,6
WILD WHIP,1
WILDSIDE,145
WILDSTREAK,2
"WILFORD, BONNIE",39
"WILFORD, ELISABETH B",53
"WILFORD, ETHAN",11
"WILKS, SHANTAL",66
WILL O' THE WISP/JAC,50
WILLIAMS JOHN,3
"WILLIAMS, MINDY",40
"WILLIAMS, MRS.",7
"WILLIAMS, NILES",9
"WILLIFORD, BRENT",7
WILLIS,4
"WILMOTT, DR. KEITH",7
"WILSON, DUBOSE",8
"WILSON, JIM",112
"WILSON, LOUIS",42
"WILSON, MERCEDES",21
WIND-WARRIOR/PAMELA ,8
WINDEAGLE/HECTOR SAN,2
WINDSHEAR/COLIN ASHW,184
WINDY,22
WING,5
"WING, COLLEEN",453
"WING, PROFESSOR",16
"WINGFOOT, WYATT",273
"WINGFOOT, WYATT II",1
"WINGFOOT, WYNONA",10
"WINTHROP, DESIREE",50
WIPEOUT,89
WIREHEAD,14
WIRETAP/,12
"WISDOM, HAROLD",4
"WISDOM, PETE 2013",1
"WISDOM, PETER",288
"WISDOM, ROMANY",11
WITCHFIRE,146
WITHERS,2
WITNESS II/REMY LEBE,25
WITNESS/NESS,22
WIZ KID/TAKESHI MATS,69
WIZARD/BENTLEY WITTM,424
WOLF,15
WOLF SPIRIT/OWAYODAT,7
"WOLFE, HEDY",29
"WOLFE, MR.",14
"WOLFE, SARA",173
WOLFGANG,1
"WOLFMAN, MARV",13
WOLFSBANE 2013,3
WOLFSBANE DOPPELGANG,133
WOLFSBANE/RAHNE SINC,1867
WOLVERINE 2013,51
WOLVERINE DOPPELGANG,238
WOLVERINE SKRULL,138
WOLVERINE | MUTANT X,23
WOLVERINE/LOGAN ,5230
WONDER MAN 2010/SIMO,6
WONDER MAN DOPPELGAN,44
WONDER MAN/SIMON WIL,3252
WONG,770
WONG CHU,11
"WOO, CHOW YUN",3
"WOO, JIMMY",103
"WOO, MAI YIN",5
"WOO, SONIA",11
WOODGOD,48
"WOODS, MIRANDA",10
"WOODS, TIMOTHY",11
WORD,6
WORD II/,36
WORM,44
WORMWOOD,14
"WORTHINGTON, ELIZABE",2
"WORTHINGTON, KATHRYN",38
"WORTHINGTON, MAJOR G",4
"WORTHINGTON, WARREN ",19
WOZ/DEWOZ,75
WRAITH,32
WRAITH II/HECTOR REN,21
WRANGLER II/EMILY DO,9
WRANGLER/,81
WRAP,9
WRECKER III/DIRK GAR,458
WRONG,54
"WU, LEIKO",229
"WU, SONIA",4
"WYNDHAM, LUCAS",4
WYNTER,12
WYRE/,19
WYSPER/MS. STEWART,48
X THE UNKNOWABLE,15
X'HOSS,3
X-CUTIONER/CARL DENT,59
X-MAN | MUTANT X-VER,1
X-MAN/NATHAN GREY ,434
X-RAY,168
XANDU,5
XELOCKS [TRIONIAN],11
XEMNU,21
XEMU,20
XIANDU,26
XYOSS,7
"YAMIR, SASHA",4
YANDROTH,13
YANKEE CLIPPER/PAT C,11
YANO,9
YAP,42
"YASHIDA, MARIKO",91
"YASHIDA, MARIKO | MU",64
YAYAUHCO,4
"YEAGER, CALLIE",24
"YEE, WAI CHEE",1
YELLOW CLAW ROBOT,8
YELLOW CLAW/TZING JA,100
YELLOWJACKET II | MU,66
YELLOWJACKET II/RITA,173
YELLOWJACKET III/HEN,147
YETI,41
YETRIGAR,8
YGMLOSVORRAICH,8
"YIN, ANGELA",127
"YIN, DR. SU",33
YLA,1
YMIR,58
YONDU/YONDU UDONTA,8
"YORK, SANDY",11
"YOUNG, AGNES",1
"YOUNG, KIM SUNG",11
"YOUNG, LAWRENCE",9
"YOUNG, LOUISE",10
"YOUNG, MAX",5
"YOUNG, MR.",4
YOVA,3
YRDISIS,76
YRIK,13
YSSA,10
"YUAN, ANNIE",6
"YUAN, BILLY",14
YUKIO,66
YURGE,9
ZA'KEN,7
ZABO,1
ZABU,387
"ZAFAR, OFFICER JIMMY",31
ZAKKA,2
ZALADANE,81
"ZAMORA, PETE",10
"ZANE, DONOVAN",11
ZANIAC II/THUG THATC,12
ZANIAC/BRAD WOLFE,8
ZANKOR/JAY STEVENSON,8
"ZAPPER, DAN",34
ZARAN II,44
ZARAN/MAXIMILLIAN ZA,88
ZARATHOS,15
ZARATHUSTRA,9
ZARIN,36
"ZARRKO, ARTHUR",188
ZAWADI,33
ZCANN,85
ZEALOT/MOREAU,7
"ZEDRAO, GENERAL",16
ZEFRA,89
ZEITGEIST II/AXEL CL,7
"ZEITGEIST, NICOLA",8
ZELDA,66
"ZELIG, LON",8
ZEMO/BARON HEINRICH ,85
ZERO,198
ZET,5
ZEUS,352
ZEY-ROGG,10
"ZIMMER, ABE",124
ZINGH,11
"ZINOVIEV, IVAN",3
ZIRA,54
ZIRAN,159
ZIRCONIUM,37
ZODIAK/NORMAN HARRIS,17
"ZOLA, ARNIM",79
"ZOLA, ARNIM II",10
ZOM,6
ZOMBIE/SIMON GARTH,8
ZON,70
ZONA,9
ZONE,1
ZOOG [KYMELLIAN],4
ZORN,2
ZOTA,5
"ZOTA, CARLO",61
ZURAS,143
ZURI,119
ZZZAX,23
